,date,team,formation,team_xGoals,team_xAssists,rolling_team_xGoals,rolling_team_xAssists
42,2020-10-17,milan,"['g donnarumma', 'calabria', 'kjaer', 'romagnoli', 'theo hernandez', 'kessie', 'bennacer', 'saelemaekers', 'calhanoglu', 'leao', 'ibrahimovic']",-0.7,-0.91,-1.25,-0.7250000000000001
43,2020-10-17,atalanta,"['iello', 'toloi', 'romero', 'palomino', 'hateboer', 'de roon', 'freuler', 'gosens', 'malinovskyi', 'gomez', 'zapata']",2.67,2.9699999999999998,1.4449999999999998,1.765
44,2020-10-17,inter,"['handanovic', 'dambrosio', 'de vrij', 'kolarov', 'hakimi', 'vidal', 'brozovic', 'perisic', 'barella', 'lautaro', 'lukaku']",-1.3399999999999999,1.11,-0.054999999999999855,0.5449999999999999
45,2020-10-17,juventus,"['buffon', 'danilo', 'bonucci', 'demiral', 'cuadrado', 'bentancur', 'arthur', 'frabotta', 'chiesa', 'morata', 'kulusevski']",1.46,-0.4800000000000001,0.77,0.8
46,2020-10-17,lazio,"['strakosha', 'patric', 'acerbi', 'hoedt', 'parolo', 'milinkovic-savic', 'leiva', 'luis alberto', 'anderson', 'correa', 'caicedo']",-0.9100000000000001,-0.20999999999999996,0.09000000000000002,-0.16000000000000003
47,2020-10-17,napoli,"['ospina', 'di lorenzo', 'manolas', 'koulibaly', 'hysaj', 'fabian', 'bakayoko', 'politano', 'mertens', 'lozano', 'osimhen']",2.79,2.29,0.6900000000000002,-0.35
48,2020-10-17,crotone,"['ordaz', 'magallan', 'marrone', 'luperto', 'pereira', 'petriccione', 'cigarini', 'molina', 'reca', 'messias', 'simy']",-1.12,-1.0,-0.6950000000000001,-0.13999999999999996
49,2020-10-17,sampdoria,"['audero', 'bereszynski', 'tonelli', 'yoshida', 'augello', 'candreva', 'thorsby', 'ekdal', 'jankto', 'ramirez', 'quagliarella']",-0.45000000000000007,0.13,-0.28,-0.009999999999999995
50,2020-10-18,fiorentina,,-1.36,-1.52,-0.76,-0.42
51,2020-10-18,roma,"['mirante', 'mancini', 'ibanez', 'kumbulla', 'santon', 'veretout', 'pellegrini', 'spinazzola', 'pedro', 'mkhitaryan', 'dzeko']",-1.63,-2.1999999999999997,-2.1550000000000002,-1.46
52,2020-10-18,bologna,,0.6199999999999997,-0.9100000000000001,1.095,-0.30500000000000005
53,2020-10-18,cagliari,,0.7499999999999999,1.54,-0.37,0.049999999999999954
54,2020-10-18,parma,,-0.4699999999999999,0.0,-0.21999999999999997,-0.14000000000000007
55,2020-10-18,udinese,,-4.81,-1.71,-1.2,-0.5950000000000001
56,2020-10-18,sassuolo,,2.2300000000000004,2.81,-1.2449999999999999,0.5
57,2020-10-18,spezia,,-0.39,1.25,0.49499999999999994,1.0750000000000002
58,2020-10-18,torino,,0.6799999999999999,0.8899999999999999,-0.21000000000000002,-0.45999999999999996
59,2020-10-18,benevento,"['montipò', 'letizia', 'caldirola', 'glik', 'foulon', 'ionita', 'schiattarella', 'hetemaj', 'insigne', 'caprari', 'lapadula']",3.4400000000000004,-0.2,1.9449999999999998,-0.255
60,2020-10-19,genoa,,1.16,0.8999999999999999,1.0699999999999998,2.31
61,2020-10-19,verona,,-0.41000000000000003,-1.41,-0.895,-0.6300000000000001
62,2020-10-23,sassuolo,"['consigli', 'muldur', 'chirches', 'ferrari', 'kyriakopoulos', 'obiang', 'locatelli', 'berardi', 'djuricic', 'haraslin', 'caputo']",1.8899999999999997,0.039999999999999925,-0.08666666666666645,1.27
63,2020-10-23,torino,"['irigu', 'vojvoda', 'nkoulou', 'bremer', 'rodriguez', 'meitè', 'rincon', 'linetty', 'lukic', 'bonazzoli', 'belotti']",2.1100000000000003,1.4899999999999998,0.23499999999999996,0.21499999999999997
64,2020-10-24,atalanta,,2.7199999999999998,5.6,1.8533333333333335,2.1666666666666665
65,2020-10-24,bologna,,2.59,-0.7400000000000002,0.9366666666666665,-0.5066666666666667
66,2020-10-24,genoa,"['erin', 'oldaniga', 'zapata', 'masiello', 'ghiglione', 'behrami', 'badelj', 'rovella', 'czyborra', 'andev', 'shomurodov']",-0.8200000000000001,3.8200000000000003,1.1149999999999998,1.605
67,2020-10-24,inter,"['handanovic', 'dambrosio', 'de vrij', 'bastoni', 'darmian', 'barella', 'vidal', 'perisic', 'eriksen', 'lukaku', 'lautaro']",-2.4499999999999997,0.049999999999999864,-0.48333333333333317,0.7333333333333334
68,2020-10-24,lazio,,-1.23,-0.5100000000000001,-0.24333333333333337,-0.17666666666666667
69,2020-10-24,sampdoria,,0.43999999999999995,0.1399999999999999,-0.3366666666666667,0.036666666666666674
70,2020-10-25,fiorentina,,1.6199999999999997,0.2300000000000001,-0.96,-0.7866666666666666
71,2020-10-25,cagliari,,1.86,1.61,0.0033333333333332993,0.5466666666666666
72,2020-10-25,juventus,"['zczesny', 'danilo', 'bonucci', 'demiral', 'cuadrado', 'arthur', 'rabiot', 'frabotta', 'ramsey', 'dybala', 'morata']",0.2999999999999998,-0.21999999999999997,1.115,0.15999999999999998
73,2020-10-25,parma,,0.5900000000000001,0.9800000000000001,-0.3033333333333333,-0.09333333333333338
74,2020-10-25,napoli,,5.4799999999999995,4.33,1.7400000000000002,0.97
75,2020-10-25,udinese,,-5.42,-1.2800000000000002,-2.403333333333333,-0.9666666666666668
76,2020-10-25,verona,"['silvestri', 'lovato', 'ceccherini', 'empereur', 'faraoni', 'vieira', 'ilic', 'lazovic', 'tameze', 'zaccagni', 'di carmine']",-1.4800000000000002,-1.0200000000000002,-0.7333333333333334,-0.89
77,2020-10-25,crotone,,-1.5999999999999996,-0.94,-0.8366666666666668,-0.4266666666666666
78,2020-10-25,spezia,,0.17,1.17,0.19999999999999996,1.1333333333333335
79,2020-10-25,benevento,,3.7600000000000002,1.4599999999999997,2.4433333333333334,-0.23666666666666666
80,2020-10-26,milan,"['atarusanu', 'calabria', 'kjaer', 'romagnoli', 'theo hernandez', 'kessie', 'bennacer', 'saelemaekers', 'calhanoglu', 'leao', 'ibrahimovic']",-0.6600000000000001,-1.24,-1.0666666666666667,-0.7866666666666667
