,match_id,date,time,matchday,team,opponent,place,result,s_goals,c_goals,team_streak,opp_streak,team_last_five,opp_last_five,rank_team,rank_opponent,team_xGoals,team_xAssists,opp_xGoals,opp_xAssists,team_shots_total,opp_shots_total,team_ball_possession,opp_ball_possession,rolling_s_goals,rolling_c_goals,rolling_team_xGoals,rolling_team_xAssists,rolling_opp_xGoals,rolling_opp_xAssists,rolling_team_shots_total,rolling_opp_shots_total,rolling_team_ball_possession,rolling_opp_ball_possession,place_v,result_v
24,59184,2020-09-27,15,2,verona,udinese,H,W,1,0,1.0,0.0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 0]",8.0,11.0,-0.8,-0.38,,,14,22,0.46,0.54,3.0,0.0,,,,,8.0,,0.39,,1,1
25,59184,2020-09-27,15,2,udinese,verona,A,L,0,1,0.0,1.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 1]",11.0,8.0,,,-0.8,-0.38,22,14,0.54,0.46,,,,,,,,8.0,,0.39,-1,-1
26,59185,2020-09-27,18,2,crotone,milan,H,L,0,2,0.0,1.0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, 1]",19.0,4.0,-0.7000000000000001,-0.14,-0.75,0.05,5,16,0.47000000000000003,0.53,1.0,4.0,,,,,13.0,17.0,0.52,0.58,1,-1
27,59185,2020-09-27,18,2,milan,crotone,A,W,2,0,1.0,0.0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, -1]",4.0,19.0,-0.75,0.05,-0.7000000000000001,-0.14,16,5,0.53,0.47000000000000003,2.0,0.0,,,,,17.0,13.0,0.58,0.52,-1,1
28,59186,2020-09-27,18,2,napoli,genoa,H,W,6,0,1.0,1.0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",3.0,1.0,0.61,-0.5,1.42,0.9500000000000001,18,6,0.5700000000000001,0.43,2.0,0.0,,,,,17.0,14.0,0.61,0.48,1,1
29,59186,2020-09-27,18,2,genoa,napoli,A,L,0,6,1.0,1.0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]",1.0,3.0,1.42,0.9500000000000001,0.61,-0.5,6,18,0.43,0.5700000000000001,4.0,1.0,,,,,14.0,17.0,0.48,0.61,-1,-1
30,59187,2020-09-27,20,2,roma,juventus,H,D,2,2,0.0,1.0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, 1]",9.0,2.0,-1.73,-1.13,0.8,0.8,11,8,0.4,0.6000000000000001,0.0,3.0,,,,,21.0,20.0,0.61,0.66,1,0
31,59187,2020-09-27,20,2,juventus,roma,A,D,2,2,1.0,0.0,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, -1]",2.0,9.0,0.8,0.8,-1.73,-1.13,8,11,0.6000000000000001,0.4,3.0,0.0,,,,,20.0,21.0,0.66,0.61,-1,0
32,59188,2020-09-28,20,2,bologna,parma,H,W,4,1,0.0,0.0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, -1]",17.0,18.0,-0.7000000000000001,-0.48,-0.09,-0.05,12,9,0.58,0.42,0.0,2.0,,,,,13.0,6.0,0.42,0.39,1,1
33,59188,2020-09-28,20,2,parma,bologna,A,L,1,4,0.0,0.0,"[0, 0, 0, 0, -1]","[0, 0, 0, 0, -1]",18.0,17.0,-0.09,-0.05,-0.7000000000000001,-0.48,9,12,0.42,0.58,0.0,2.0,,,,,6.0,13.0,0.39,0.42,-1,-1
34,59176,2020-09-30,18,1,benevento,inter,H,L,2,5,0.0,0.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",10.0,9.0,0.7000000000000001,0.09,0.05,0.98,11,18,0.33,0.67,3.0,2.0,,,,,14.0,21.0,0.6000000000000001,0.66,1,-1
35,59176,2020-09-30,18,1,inter,benevento,A,W,5,2,0.0,0.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",9.0,10.0,0.05,0.98,0.7000000000000001,0.09,18,11,0.67,0.33,4.0,3.0,,,,,21.0,14.0,0.66,0.6000000000000001,-1,1
36,59177,2020-09-30,18,1,udinese,spezia,H,L,0,2,0.0,0.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",15.0,17.0,-2.15,-0.98,-0.27,0.4,13,4,0.48,0.52,0.0,1.0,,,,,22.0,12.0,0.54,0.34,1,-1
37,59177,2020-09-30,18,1,spezia,udinese,A,W,2,0,0.0,0.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",17.0,15.0,-0.27,0.4,-2.15,-0.98,4,13,0.52,0.48,1.0,4.0,,,,,12.0,22.0,0.34,0.54,-1,1
38,59178,2020-09-30,20,1,lazio,atalanta,H,L,1,4,0.0,0.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",7.0,6.0,0.64,-0.54,-0.18,0.76,14,10,0.6000000000000001,0.4,2.0,0.0,,,,,16.0,18.0,0.56,0.56,1,-1
39,59178,2020-09-30,20,1,atalanta,lazio,A,W,4,1,0.0,0.0,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]",6.0,7.0,-0.18,0.76,0.64,-0.54,10,14,0.4,0.6000000000000001,4.0,2.0,,,,,18.0,16.0,0.56,0.56,-1,1
